dataset	analysis	pool_or_direction	endpoint	model	feature	median_standardized_coefficient	coefficient_q25	coefficient_q75	negative_fits	positive_fits	n_fits	sign_boundary
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	gc_deviation_from_0p5	-0.021617771282145894	-0.023361562187057622	-0.01995570625909155	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	max_homopolymer	0.005626495009900393	0.004926011208874837	0.0072839972976507725	0	25	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	candidate_pairs	-0.02018709301032885	-0.02104596710467004	-0.019333050829509202	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	gc_deviation_from_0p5	-0.018311095261871843	-0.020381143555426615	-0.01723851167478406	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	longest_stem	-0.0008833068723834618	-0.001852238454427655	0.0005762043442596502	16	9	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	max_homopolymer	0.004962864972598991	0.004183967058895391	0.0062115825221707435	0	25	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	candidate_pairs	-0.01120707451792576	-0.011917013227984297	-0.009998046214163519	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	gc_deviation_from_0p5	-0.01806346433616844	-0.019456827955113422	-0.01713240793252834	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	longest_stem	0.0012769064094774651	-5.3030473526061865e-06	0.0022992314211354734	7	18	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	max_homopolymer	0.00494707563291981	0.004158366327194219	0.006056836203055565	0	25	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	weighted_pairs	-0.010974102611311605	-0.012150317607361107	-0.009999264204959973	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	mean_log2_cpm_plus1	D0_composition	gc_deviation_from_0p5	0.006859099118735887	0.0033745214272737863	0.010275386498531547	1	24	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Genscript_GCall	mean_log2_cpm_plus1	D0_composition	max_homopolymer	-0.01012373761363961	-0.01266081584968586	-0.006167611545488103	23	2	25	association direction within fitted model; not causal effect
