dataset	analysis	pool_or_direction	endpoint	model	repeat	fold	feature	standardized_coefficient	selected_regularization
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	0	gc_deviation_from_0p5	-0.021617771282145894	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	0	max_homopolymer	0.008867067841953059	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	1	gc_deviation_from_0p5	-0.02525047267219464	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	1	max_homopolymer	0.004605732668972243	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	2	gc_deviation_from_0p5	-0.019880959269310727	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	2	max_homopolymer	0.006518864965308601	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	3	gc_deviation_from_0p5	-0.02397751482302205	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	3	max_homopolymer	0.0054902147180046134	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	4	gc_deviation_from_0p5	-0.01960435773553351	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0	4	max_homopolymer	0.00538006070597425	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	1	0	gc_deviation_from_0p5	-0.018797363319784346	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	1	0	max_homopolymer	0.0052583405781270465	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	1	1	gc_deviation_from_0p5	-0.019809225994449765	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	1	1	max_homopolymer	0.00682505189677455	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	1	2	gc_deviation_from_0p5	-0.024847111982711716	100.0
