dataset	evaluation	pool_or_direction	endpoint	model	retention_fraction	achieved_retention_fraction	selected_n	n_sequences	pool_mean_outcome	selected_mean_outcome	outcome_gain_vs_pool	standardized_gain_vs_pool	outcome_gain_ci_2p5	outcome_gain_ci_97p5	pool_adverse_event_rate	pool_adverse_events	selected_adverse_event_rate	selected_adverse_events	selected_to_pool_event_rate_ratio	event_rate_change_vs_pool	event_change_ci_2p5	event_change_ci_97p5	finite_pool_penalty_bits_per_sequence	finite_pool_penalty_bits_per_nt	rate_boundary
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0.1	0.10006414368184734	1248	12472	0.0015615340816228357	0.03886193845272436	0.03730040437110152	0.08542591998510683	0.01603811907722944	0.058175085146136424	0.008017960230917255	100	0.005608974358974359	7	0.699551282051282	-0.002408985871942896	-0.00612185482446783	0.0018306698069575783	3.3210029938355365	0.032558852880740556	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0.1	0.10006414368184734	1248	12472	0.0015615340816228357	0.0404555055	0.038893971418377166	0.08907553004608892	0.01688243807576664	0.06159049850970614	0.008017960230917255	100	0.005608974358974359	7	0.699551282051282	-0.002408985871942896	-0.006081994004629257	0.0017890549505369107	3.3210029938355365	0.032558852880740556	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0.1	0.10006414368184734	1248	12472	0.0015615340816228357	0.03976371963701923	0.038202185555396395	0.0874911921609048	0.015198946024718697	0.0616993358931639	0.008017960230917255	100	0.00641025641025641	8	0.7994871794871794	-0.001607703820660845	-0.005608182618577704	0.002822134555527902	3.3210029938355365	0.032558852880740556	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	F0_frozen_low_proxy	0.1	0.10006414368184734	1248	12472	0.0015615340816228357	0.040363399911057696	0.03880186582943486	0.08886458850795206	0.015211684207191507	0.0613051324540901	0.008017960230917255	100	0.004807692307692308	6	0.5996153846153847	-0.003210267923224947	-0.00673541363696453	0.0007140683670666413	3.3210029938355365	0.032558852880740556	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0.25	0.25	3118	12472	0.0015615340816228357	0.028283036624118022	0.026721502542495185	0.06119796759751888	0.014481222953721702	0.03904695021458393	0.008017960230917255	100	0.006093649775497113	19	0.7599999999999999	-0.001924310455420142	-0.00428161060757093	0.0006276828273068098	2.0	0.0196078431372549	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0.25	0.25	3118	12472	0.0015615340816228357	0.028493194672867223	0.026931660591244386	0.06167927456883377	0.01422554729485778	0.04012861296239959	0.008017960230917255	100	0.006093649775497113	19	0.7599999999999999	-0.001924310455420142	-0.004266663344623207	0.0006737225866557082	2.0	0.0196078431372549	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0.25	0.25	3118	12472	0.0015615340816228357	0.027922669169980752	0.026361135088357916	0.06037264889598176	0.013463483785691394	0.03934800605743805	0.008017960230917255	100	0.006093649775497113	19	0.7599999999999999	-0.001924310455420142	-0.004276087710066897	0.0006657159074699658	2.0	0.0196078431372549	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	F0_frozen_low_proxy	0.25	0.25	3118	12472	0.0015615340816228357	0.024671859456061578	0.02311032537443874	0.0529275979591287	0.009926172251587456	0.03635587481805454	0.008017960230917255	100	0.006735086593970494	21	0.84	-0.0012828736369467613	-0.003791312773870814	0.0015254235185422967	2.0	0.0196078431372549	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	0.5	0.5	6236	12472	0.0015615340816228357	0.018630537608883897	0.01706900352726106	0.03909167619306025	0.009156617402983108	0.024864003783665604	0.008017960230917255	100	0.007697241821680564	48	0.96	-0.00032071840923669076	-0.00182311663646491	0.001156206172163676	1.0	0.00980392156862745	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0.5	0.5	6236	12472	0.0015615340816228357	0.024242826900737653	0.022681292819114816	0.05194502146002505	0.014926585939423873	0.03029275402572192	0.008017960230917255	100	0.005933290570878769	37	0.74	-0.0020846696600384865	-0.0036970427185099	-0.0005439479206905129	1.0	0.00980392156862745	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0.5	0.5	6236	12472	0.0015615340816228357	0.02347284981622835	0.021911315734605512	0.05018160892011656	0.01415309834287827	0.02935132164643535	0.008017960230917255	100	0.006093649775497113	38	0.7599999999999999	-0.001924310455420142	-0.003524099262872593	-0.0004198561134387832	1.0	0.00980392156862745	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	F0_frozen_low_proxy	0.5	0.5	6236	12472	0.0015615340816228357	0.020413254816388712	0.018851720734765876	0.043174480658375	0.01138662010547371	0.02644526904334774	0.008017960230917255	100	0.0062540089801154585	39	0.7799999999999999	-0.0017639512508017966	-0.0033596707123155316	-0.00022819313421572172	1.0	0.00980392156862745	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	D0_composition	0.1	0.10006414368184734	1248	12472	5.410892951186819	5.3928414586626605	-0.018051492524158164	-0.00979481102696473	-0.11841972851528873	0.08280352074308489	0.0286241180243746	357	0.04246794871794872	53	1.4836421748186455	0.01384383069357412	0.0035050548361479227	0.024253043788133723	3.3210029938355365	0.032558852880740556	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	D1_structural_rules	0.1	0.10006414368184734	1248	12472	5.410892951186819	5.524907735592949	0.11401478440613033	0.061864871618988286	0.01603363783042	0.21035351015882392	0.0286241180243746	357	0.026442307692307692	33	0.9237772031889678	-0.002181810332066908	-0.010573419192421586	0.0068118495263091135	3.3210029938355365	0.032558852880740556	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	0.1	0.10006414368184734	1248	12472	5.410892951186819	5.484448693891827	0.07355574270500842	0.03991163604778968	-0.018266546485884015	0.17284161720978744	0.0286241180243746	357	0.02564102564102564	32	0.895783954607484	-0.00298309238334896	-0.011260233305802742	0.005964660711293166	3.3210029938355365	0.032558852880740556	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	F0_frozen_low_proxy	0.1	0.10006414368184734	1248	12472	5.410892951186819	5.474373508475962	0.06348055728914304	0.03444480071115678	-0.028422134247187047	0.15951157226855292	0.0286241180243746	357	0.022435897435897436	28	0.7838109602815485	-0.006188220588477164	-0.013844447292203542	0.002599934161361003	3.3210029938355365	0.032558852880740556	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	D0_composition	0.25	0.25	3118	12472	5.410892951186819	5.389438199403464	-0.021454751783354986	-0.011641432921247977	-0.07897071054388116	0.03590170349639985	0.0286241180243746	357	0.03463758819756254	108	1.2100840336134453	0.00601347017318794	0.0007962715826822661	0.011510491655236002	2.0	0.0196078431372549	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	D1_structural_rules	0.25	0.25	3118	12472	5.410892951186819	5.476025437103913	0.06513248591709431	0.03534114369881621	0.010302356935551215	0.12362372472759611	0.0286241180243746	357	0.025657472738935216	80	0.896358543417367	-0.0029666452854393843	-0.0077318716230922015	0.0017626952993294465	2.0	0.0196078431372549	finite observed-pool retention cost; not full-language capacity
