dataset	evaluation	pool_or_direction	endpoint	comparison	baseline_model	extended_model	retention_fraction	delta_selected_mean	delta_selected_mean_ci_2p5	delta_selected_mean_ci_97p5	delta_selected_event_rate	delta_event_rate_ci_2p5	delta_event_rate_ci_97p5	n_sequences	bootstrap_unit
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.1	-0.0005996802740384638	-0.022820742987534386	0.021877359266959055	0.001602564102564102	-0.0023709509454414527	0.0055982323516873414	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.1	0.0015935670472756458	-0.024553779997873962	0.029549025859117412	0.0	-0.005489250714953786	0.005484426117508558	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.1	-0.0006917858629807705	-0.0078794935479424	0.00506852050609831	0.000801282051282051	-5.163550123428019e-05	0.0024988123499540917	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.25	0.003250809713919174	-0.009417179912911895	0.015749653490741977	-0.0006414368184733807	-0.00263964456656363	0.001350561786634319	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.25	0.00021015804874920108	-0.013284990639232072	0.013781287609213688	0.0	-0.0029468472274510335	0.0030392116504539828	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.25	-0.0005705255028864709	-0.0026952196779437103	0.0014881933985219419	0.0	-3.721866568428469e-05	3.6328257987324146e-05	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.5	0.003059594999839637	-0.004496123996273802	0.009962724316545029	-0.00016035920461834538	-0.0016152478021845018	0.001255916815314649	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.5	0.005612289291853756	-0.002075524169210318	0.013290303979052228	-0.0017639512508017957	-0.0033637232502977113	-0.00024213611206957766	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.5	-0.0007699770845093039	-0.0018557530328177593	0.00029730691745723123	0.0001603592046183445	-1.3142596866533425e-05	0.000492163255262667	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.1	0.010075185415865384	-0.08364449697527418	0.10296257657565006	0.003205128205128204	-0.004392195322290196	0.010285546278635637	12472	sequence; conditional on frozen OOF or transfer predictions
