source_model	selector_bits	selector	recomputed_gain	frozen_gain	difference	tolerance	status
GCall	2	P5_combined_context	0.002458436092035709	0.0024584360920358	-9.107298248878237e-17	2e-09	PASS
GCall	2	P2_assay_context	0.001899993661280783	0.0018999936612808	-1.713039432527097e-17	2e-09	PASS
GCall	2	published_1dcnn	0.0016169287791358634	0.0016169287791358	6.331740687315346e-17	2e-09	PASS
GCall	4	P5_combined_context	0.004085386386097567	0.0040853863860975	6.678685382510707e-17	2e-09	PASS
GCall	4	P2_assay_context	0.002176825220855107	0.002176825220855	1.0711917464156784e-16	2e-09	PASS
GCall	4	published_1dcnn	0.0016062471528757397	0.0016062471528755	2.398255205537936e-16	2e-09	PASS
GCfix	2	P5_combined_context	0.00239766184254945	0.0023976618425493	1.5005358067199381e-16	2e-09	PASS
GCfix	2	P2_assay_context	0.00181924641778517	0.0018192464177852	-2.992397996059992e-17	2e-09	PASS
GCfix	2	published_1dcnn	0.00161057442403212	0.0016105744240321	1.9949319973733282e-17	2e-09	PASS
GCfix	4	P5_combined_context	0.0034325725731435665	0.0034325725731437	-1.3357370765021415e-16	2e-09	PASS
GCfix	4	P2_assay_context	0.0018141449331775614	0.0018141449331774	1.6154612370034016e-16	2e-09	PASS
GCfix	4	published_1dcnn	0.0013830844194464478	0.0013830844194465	-5.2258544713801314e-17	2e-09	PASS
