dataset	direction	selector_bits	fibers	evidence_type	mean_gain	standardized_mean_gain	minimum_gain	q25_gain	median_gain	q75_gain	maximum_gain	negative_gain_fraction	near_zero_gain_fraction_abs_le_0p01_target_sd	positive_gain_fraction	mean_within_fiber_outcome_variance	mean_within_fiber_score_variance	interpretation
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	512	measured retrospective selection	0.0023490308967440716	0.250254913336606	-0.0117871810372712	-4.168938775972464e-06	0.0016235728676525498	0.003744942998161425	0.0503588355605794	0.25	0.013671875	0.75	6.422635106570334e-05	5.1926591655715374e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	128	measured retrospective selection	0.003189670592436877	0.3398127878134716	-0.0059940013830208	0.00054524913899095	0.002955044379364	0.0053049462683444	0.0246393333941836	0.1796875	0.0078125	0.8203125	8.04659697244382e-05	6.414095075801478e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	512	measured retrospective selection	0.0021354591246280008	0.2744291856691634	-0.0533068462295489	-0.0001952901302151	0.00218517737302275	0.0044934666066044	0.0399157532651273	0.2734375	0.025390625	0.7265625	4.5565429176437215e-05	6.07031956859368e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	4	128	measured retrospective selection	0.0029666622831328285	0.381247622642927	-0.0085139349498614	0.000749080224754825	0.00249473679934535	0.00548901924682555	0.0142623050042554	0.203125	0.0078125	0.796875	5.677673401365181e-05	7.480134016557096e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
same-source-publication external-laboratory KAPA codebook	GCall_to_external_KAPA	2	512	measured retrospective selection	0.0024584360920358005	0.23445735449266406	-0.0296418002372977	-0.000472239862286475	0.0024467869480394	0.00503709357103385	0.0589289548320157	0.29296875	0.01953125	0.70703125	8.26187563538792e-05	4.844207516852472e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
same-source-publication external-laboratory KAPA codebook	GCall_to_external_KAPA	4	128	measured retrospective selection	0.004085386386097515	0.38961715835028593	-0.0221380579035879	0.001027346018762425	0.00409925303435915	0.0071266118607715	0.0239737133484869	0.171875	0.046875	0.828125	0.0001036672897146	5.987562691814974e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
same-source-publication external-laboratory KAPA codebook	GCfix_to_external_KAPA	2	512	measured retrospective selection	0.002397661842549378	0.22866140567707116	-0.0291633915456035	-0.000500254943705625	0.00213371454990745	0.005031346334335074	0.0589289548320157	0.30859375	0.025390625	0.69140625	8.26187563538792e-05	5.412525186235956e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
same-source-publication external-laboratory KAPA codebook	GCfix_to_external_KAPA	4	128	measured retrospective selection	0.003432572573143761	0.3273592863408291	-0.0320144960582362	0.00060205479396765	0.0033408453829123002	0.006576772216636775	0.0239737133484869	0.203125	0.046875	0.796875	0.0001036672897146	6.705112695458135e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	2	256	measured retrospective selection	-0.005711009118278987	-0.25117225242500135	-0.0747250706483364	-0.015787651760664125	-0.001278256497499	0.006086581265485575	0.049947464866858	0.546875	0.02734375	0.453125	0.0004126199599256	4.601070231598605e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	64	measured retrospective selection	-0.018596208339991253	-0.8178679877029698	-0.0929469694791672	-0.038774874614937324	-0.01016872401508395	0.000357762561110725	0.0219674145270118	0.71875	0.046875	0.28125	0.0004913736923231	5.736394334998221e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	256	measured retrospective selection	-0.003784850900501843	-0.16645911538280228	-0.1361637258196385	-0.01222610189655585	0.0008750254228066499	0.008414131941662451	0.0430990131175577	0.4765625	0.0234375	0.5234375	0.0004126199599256	5.315652741505789e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	4	64	measured retrospective selection	-0.011864577740870182	-0.5218084323675376	-0.0929469694791672	-0.03767823411160263	-0.00243901395597615	0.0089310978807476	0.0280800289554372	0.53125	0.046875	0.46875	0.0004913736923231	6.6249038785423965e-06	average shift is not a per-payload guarantee; near-zero threshold is exploratory
