dataset	direction	selector_bits	feature	negative_fibers	nonnegative_fibers	negative_fiber_selected_feature_mean	nonnegative_fiber_selected_feature_mean	standardized_mean_difference_negative_minus_nonnegative	analysis_role
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	gc_deviation_from_0p5	128	384	0.0	0.0	0.0	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	max_homopolymer	128	384	2.984375	2.9947916666666665	-0.11823816286586297	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	base_freq_A	128	384	0.25846354166670316	0.2542920524691406	0.14015656272072446	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	base_freq_C	128	384	0.2539785879629453	0.25593171296295836	-0.061726236477986064	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	base_freq_G	128	384	0.2460214120370547	0.24406828703704167	0.06172623647798518	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	base_freq_T	128	384	0.2415364583332969	0.24570794753085937	-0.1401565627207217	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	variable_candidate_pairs	128	384	25.2890625	27.3203125	-0.21984908971190614	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	variable_weighted_pairs	128	384	109.234375	118.828125	-0.21800912507627854	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	variable_longest_stem	128	384	5.8515625	5.950520833333333	-0.101139538389286	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	full_amplicon_candidate_pairs	128	384	107.71875	109.3828125	-0.11554077698934095	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	full_amplicon_weighted_pairs	128	384	642.84375	648.5442708333334	-0.061092512370863196	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	full_amplicon_longest_stem	128	384	13.59375	13.559895833333334	0.04879482572088333	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	left_boundary_vs_left_adapter_max_rc_tract	128	384	3.359375	3.4375	-0.12868629334456366	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	left_boundary_vs_left_adapter_complement_4mers	128	384	0.515625	0.6458333333333334	-0.14183702383223096	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	left_boundary_vs_right_adapter_max_rc_tract	128	384	3.9375	3.9348958333333335	0.00322340572387318	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	left_boundary_vs_right_adapter_complement_4mers	128	384	1.28125	1.3880208333333333	-0.0806858589730571	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	right_boundary_vs_left_adapter_max_rc_tract	128	384	3.9609375	3.9947916666666665	-0.040589052823481554	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	right_boundary_vs_left_adapter_complement_4mers	128	384	1.375	1.4817708333333333	-0.07742485862365392	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	right_boundary_vs_right_adapter_max_rc_tract	128	384	3.6953125	3.7005208333333335	-0.007629396831737857	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	2	right_boundary_vs_right_adapter_complement_4mers	128	384	0.9609375	0.9817708333333334	-0.019309396844153583	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	gc_deviation_from_0p5	23	105	0.0	0.0	0.0	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	max_homopolymer	23	105	3.0	3.0	0.0	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	base_freq_A	23	105	0.255233494364	0.2541446208112667	0.040437705282236586	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	base_freq_C	23	105	0.2620772946858696	0.25449735449737143	0.2722665172716801	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	base_freq_G	23	105	0.23792270531413043	0.24550264550262857	-0.2722665172716791	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	base_freq_T	23	105	0.244766505636	0.24585537918873332	-0.04043770528223762	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	variable_candidate_pairs	23	105	27.434782608695652	30.62857142857143	-0.3880707536607817	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	variable_weighted_pairs	23	105	120.04347826086956	135.0857142857143	-0.36812057709016766	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	variable_longest_stem	23	105	6.260869565217392	6.314285714285714	-0.052374176673583926	post hoc exploratory selected-sequence feature stratification
