selector_source_pool	cross_evaluator_pool	selector_model	selector_bits	candidates_per_payload	sampled_payloads	base_fixed_payload_bits	payload_bits_after_selection	payload_bits_per_variable_nt	own_model_mean_gain_vs_fiber	own_model_gain_minimum	own_model_gain_q25	own_model_gain_median	own_model_gain_q75	own_model_gain_maximum	own_gain_ci_2p5	own_gain_ci_97p5	cross_model_mean_gain_vs_fiber	cross_model_gain_minimum	cross_model_gain_q25	cross_model_gain_median	cross_model_gain_q75	cross_model_gain_maximum	cross_gain_ci_2p5	cross_gain_ci_97p5	own_model_fiber_score_variance_mean	own_model_fiber_score_variance_median	cross_model_fiber_score_variance_mean	cross_model_fiber_score_variance_median	own_model_negative_gain_fraction	own_model_zero_gain_fraction	fibers_improved_in_own_model_fraction	cross_model_negative_gain_fraction	cross_model_zero_gain_fraction	fibers_improved_in_cross_model_fraction	score_decimal_places	choices_changed_by_quantization	quantized_extremum_tie_fibers	minimum_raw_top_gap	selected_roundtrip_failures	inference_boundary
GCall	GCfix	P0_composition	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	1	2	512	213	212	1.962962962962963	0.00027129726431587733	1.9835967801640209e-07	0.00010247964947585064	0.00024643127485118876	0.00039863898952680055	0.0009012353794024541	0.00025421748478668724	0.00028871180676837827	0.00018783818161853668	-0.0005198631604409476	-1.4458297896036143e-05	0.00017085542489286842	0.00037910453573736236	0.0010753974480928186	0.00016484638093116374	0.00021138653953060938	1.1488824302660992e-07	6.072858707574814e-08	1.1135332093810315e-07	4.559013872583889e-08	0.0	0.0	1.0	0.26953125	0.00390625	0.7265625	12	0	0	3.9671935603280417e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	1	2	512	213	212	1.962962962962963	0.0010176726229797867	1.6908937114923361e-06	0.00042220834364764537	0.0008103087903447159	0.0014507191098883654	0.004916145543683914	0.0009516533300290505	0.0010862949991164914	0.0011030900033396217	-0.0008698600885839181	0.00043582395167773846	0.001003672288614199	0.0016366414449909827	0.004964760031780591	0.0010261695203068754	0.0011873447862638777	1.6657653309263788e-06	6.566030577099517e-07	2.1303909137023728e-06	1.0073594572616075e-06	0.0	0.0	1.0	0.083984375	0.0	0.916015625	12	0	0	3.3817874229846723e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	1	2	512	213	212	1.962962962962963	0.0013426630790471222	4.2092713037344964e-07	0.0004960807733463968	0.0010364123631055322	0.0018210561288534988	0.007002896944670267	0.001239083617591446	0.001448850381558151	0.0013866547155933712	-0.0008278351472794654	0.000466305577801418	0.0011555392123978603	0.002062076634157556	0.0069359783698687005	0.0012768581837788657	0.0015018895330991672	3.1527380952296566e-06	1.0741526898838112e-06	3.5377845759053904e-06	1.3352776654520407e-06	0.0	0.0	1.0	0.095703125	0.0	0.904296875	12	0	0	8.41854260635877e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	2	4	512	213	211	1.9537037037037037	0.0005252479629733358	6.0851846834242274e-05	0.0003379689846423062	0.0004988635677721232	0.0006732457355684007	0.001511378757657278	0.000503864288042486	0.0005472595076526564	0.000372304419525085	-0.0006022524062062606	0.0001377681357927485	0.0003649174150129886	0.000605240041537447	0.0013999843731731243	0.00034368703946806707	0.00040196078830253597	1.9491172257324664e-07	1.5454709620905648e-07	1.814971450914048e-07	1.4628537652293885e-07	0.0	0.0	1.0	0.119140625	0.0	0.880859375	12	0	1	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	2	4	512	213	211	1.9537037037037037	0.0018914316946844628	0.00021657046272527403	0.001217437441495689	0.0017953774594008376	0.002403926540814727	0.005004834939715819	0.0018167070716826527	0.001967617355581886	0.0020153796083191254	-0.0006969949533972564	0.0013000862358570064	0.0018927451888282598	0.0026626221465779754	0.005450507053178288	0.0019216514984727391	0.0021120348575131664	2.8928136129421297e-06	2.0767587458135526e-06	3.599205883587495e-06	2.4676980160001945e-06	0.0	0.0	1.0	0.01171875	0.0	0.98828125	12	0	0	4.390771127571469e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	2	4	512	213	211	1.9537037037037037	0.0023927398409782016	0.00017771443076508575	0.0015457387835298153	0.002198197154456627	0.0030620677894323545	0.00881419954169882	0.0022879858542420883	0.0025002184822200215	0.002508101657472562	-0.00019141603417249797	0.0015476731702924185	0.0024131727105198286	0.0032763126406172294	0.00824504810606519	0.002396551331175659	0.0026198900206762564	5.5062048165325444e-06	3.277545986673056e-06	6.122471293143727e-06	3.680577216383314e-06	0.0	0.0	1.0	0.00390625	0.0	0.99609375	12	0	0	2.732856950293794e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	3	8	512	213	210	1.9444444444444444	0.0007194793424008829	0.00021245486192977836	0.0005541742470476785	0.0006939688737329086	0.0008524758811235267	0.0018416377492683766	0.0006995692627920841	0.0007421905688276344	0.0005168915924504932	-0.0004948323737731242	0.000260147613457995	0.000506308578011816	0.000738233017281098	0.0016630560827746166	0.0004870686829245455	0.0005470011711765776	2.16654447650491e-07	2.0148619791611289e-07	2.1540770880330264e-07	2.0129182217650485e-07	0.0	0.0	1.0	0.07421875	0.0	0.92578125	12	0	3	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
