population	sequences	window	positions_1_based	frequency_A	frequency_C	frequency_G	frequency_T
generated_unique_candidates	64646	first_base	1	0.2495746063174829	0.2498839835411317	0.25030164279305755	0.2502397673483278
generated_unique_candidates	64646	first_24nt	1-24	0.24981759634522374	0.2504408625436995	0.2500348049376605	0.24970673617341624
generated_unique_candidates	64646	last_24nt	85-108	0.25000966803823904	0.24981630727345852	0.2503416040177789	0.24983242067052358
generated_unique_candidates	64646	full_108nt	1-108	0.24976825354265567	0.25006946664512486	0.2501211727459291	0.25004110706629035
source_GCall	11998	first_base	1	0.24954159026504416	0.24579096516086013	0.2517919653275546	0.2528754792465411
source_GCall	11998	first_24nt	1-24	0.24987497916319387	0.2487220092237595	0.2500937656276046	0.251309245985442
source_GCall	11998	last_24nt	85-108	0.24954506306606658	0.25046188253597823	0.25049313774517973	0.24949991665277546
source_GCall	11998	full_108nt	1-108	0.24979163193865644	0.2495469923999679	0.25049776814654295	0.25016360751483274
source_GCfix	11994	first_base	1	0.2507086876771719	0.24395531098882775	0.25237618809404705	0.2529598132399533
source_GCfix	11994	first_24nt	1-24	0.2486659996664999	0.25045856261464067	0.25065657828914456	0.25021885942971483
source_GCfix	11994	last_24nt	85-108	0.25196278694903007	0.2499096770607526	0.24790520260130064	0.2502223333889167
source_GCfix	11994	full_108nt	1-108	0.2500077199093374	0.2502462651078626	0.24975373489213742	0.24999228009066263
