direction	source_pool	target_pool	selector_model	selector_bits	candidates_per_payload	base_library_sequences	payloads	base_payload_bits	payload_bits_after_selection	payload_bits_per_variable_nt	target_library_mean_outcome	selected_mean_outcome	paired_mean_outcome_gain	paired_gain_ci_2p5	paired_gain_ci_97p5	standardized_paired_gain	target_library_event_rate	selected_event_rate	paired_event_rate_change	event_change_ci_2p5	event_change_ci_97p5	fiber_score_variance_mean	fiber_outcome_variance_mean	negative_gain_fraction	zero_gain_fraction	positive_gain_fraction	score_decimal_places	fibers	choices_changed_by_quantization	quantized_extremum_tie_fibers	minimum_raw_top_gap	median_raw_top_gap	roundtrip_payloads	roundtrip_failures	independent_unit	evidence_boundary
GCall_to_GCfix	GCall	GCfix	P0_composition	0	1	2048	2048	11	11	0.10185185185185185	0.9998415401124303	0.9998415401124303	0.0	0.0	0.0	0.0	0.0205078125	0.0205078125	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12	2048	0	0	inf	inf	2048	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P2_assay_context	0	1	2048	2048	11	11	0.10185185185185185	0.9998415401124303	0.9998415401124303	0.0	0.0	0.0	0.0	0.0205078125	0.0205078125	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12	2048	0	0	inf	inf	2048	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P5_combined_context	0	1	2048	2048	11	11	0.10185185185185185	0.9998415401124303	0.9998415401124303	0.0	0.0	0.0	0.0	0.0205078125	0.0205078125	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12	2048	0	0	inf	inf	2048	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P0_composition	1	2	2048	1024	11	10	0.09259259259259259	0.9998415401124303	1.0001813831638202	0.00033984305138994063	-4.9724276303971145e-05	0.0007547521633615249	0.03620531066301251	0.0205078125	0.0205078125	0.0	-0.005859375	0.00634765625	7.328768010064744e-08	4.2065056228649176e-05	0.4765625	0.0	0.5234375	12	1024	0	7	0.0	0.0003621792395422374	1024	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P2_assay_context	1	2	2048	1024	11	10	0.09259259259259259	0.9998415401124303	1.0010662933770356	0.0012247532646054503	0.0008578779052041707	0.0016340933602040477	0.13047956181307885	0.0205078125	0.0068359375	-0.013671875	-0.02001953125	-0.00732421875	1.7744627119654184e-06	4.2065056228649176e-05	0.4169921875	0.0	0.5830078125	12	1024	0	0	3.6860168861618803e-06	0.001766449564775896	1024	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P5_combined_context	1	2	2048	1024	11	10	0.09259259259259259	0.9998415401124303	1.0014658637746516	0.0016243236622214188	0.0012554867609498228	0.0020285416343445045	0.17304794836169898	0.0205078125	0.001953125	-0.0185546875	-0.02490234375	-0.0126953125	3.4931769330168152e-06	4.2065056228649176e-05	0.375	0.0	0.625	12	1024	0	0	6.545321987738717e-06	0.0022320878794322985	1024	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P0_composition	2	4	2048	512	11	9	0.08333333333333333	0.9998415401124303	1.0000713254206612	0.0002297853082310539	-0.00044712198261394993	0.0008351110302482356	0.024480266512071597	0.0205078125	0.025390625	0.0048828125	-0.00634765625	0.01708984375	1.0786649541680412e-07	6.422635106570334e-05	0.439453125	0.0	0.560546875	12	512	0	6	0.0	0.00023065852140347065	512	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P2_assay_context	2	4	2048	512	11	9	0.08333333333333333	0.9998415401124303	1.0016050531160077	0.0017635130035776627	0.0012534938722508528	0.002278392701723988	0.18787653857171518	0.0205078125	0.00390625	-0.0166015625	-0.02296142578125	-0.00927734375	2.600238723983235e-06	6.422635106570334e-05	0.31640625	0.0	0.68359375	12	512	0	0	5.640370504877978e-06	0.0009131890143235788	512	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P5_combined_context	2	4	2048	512	11	9	0.08333333333333333	0.9998415401124303	1.0021905710091743	0.0023490308967440937	0.0019002820308026654	0.002818400437795054	0.25025491333659844	0.0205078125	0.0	-0.0205078125	-0.02685546875	-0.0146484375	5.1926591655715374e-06	6.422635106570334e-05	0.25	0.0	0.75	12	512	0	0	6.545321987738717e-06	0.001202391849265072	512	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P0_composition	3	8	2048	256	11	8	0.07407407407407407	0.9998415401124303	1.0001217525314336	0.00028021241900339595	-0.0007101705234558277	0.0011483348300349253	0.02985253822362683	0.0205078125	0.02734375	0.0068359375	-0.01025390625	0.02587890625	1.2488564929029687e-07	7.525244653377619e-05	0.41796875	0.0	0.58203125	12	256	0	2	0.0	0.00015900802511681356	256	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
