selector_source_pool	selector_model	selector_bits	max_attempts	source_public_top25_threshold	sampled_payloads	successful_payloads	failed_payloads	failure_fraction	mean_attempts_including_failures_at_cap	choice_codec_failure_fraction	boundary
GCall	P0_composition	0	1	1.0004544156780903	512	68	444	0.8671875	1.0	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P2_assay_context	0	1	1.0013716870135272	512	116	396	0.7734375	1.0	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P5_combined_context	0	1	1.0017287061901117	512	113	399	0.779296875	1.0	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P0_composition	1	2	1.0004544156780903	512	137	375	0.732421875	1.8671875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P2_assay_context	1	2	1.0013716870135272	512	212	300	0.5859375	1.7421875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P5_combined_context	1	2	1.0017287061901117	512	211	301	0.587890625	1.763671875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P0_composition	2	4	1.0004544156780903	512	209	303	0.591796875	3.314453125	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P2_assay_context	2	4	1.0013716870135272	512	328	184	0.359375	2.8828125	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P5_combined_context	2	4	1.0017287061901117	512	337	175	0.341796875	2.814453125	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P0_composition	3	8	1.0004544156780903	512	334	178	0.34765625	5.181640625	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P2_assay_context	3	8	1.0013716870135272	512	441	71	0.138671875	3.986328125	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P5_combined_context	3	8	1.0017287061901117	512	435	77	0.150390625	3.982421875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P0_composition	4	16	1.0004544156780903	512	454	58	0.11328125	7.16015625	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P2_assay_context	4	16	1.0013716870135272	512	500	12	0.0234375	4.498046875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P5_combined_context	4	16	1.0017287061901117	512	507	5	0.009765625	4.3515625	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P0_composition	5	32	1.0004544156780903	512	504	8	0.015625	7.53515625	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P2_assay_context	5	32	1.0013716870135272	512	512	0	0.0	4.359375	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P5_combined_context	5	32	1.0017287061901117	512	512	0	0.0	4.28515625	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P0_composition	6	64	1.0004544156780903	512	512	0	0.0	7.681640625	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P2_assay_context	6	64	1.0013716870135272	512	512	0	0.0	4.505859375	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCall	P5_combined_context	6	64	1.0017287061901117	512	512	0	0.0	4.212890625	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P0_composition	0	1	1.0003505339712828	512	94	418	0.81640625	1.0	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P2_assay_context	0	1	1.001533740220806	512	123	389	0.759765625	1.0	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P5_combined_context	0	1	1.0017810901122408	512	120	392	0.765625	1.0	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P0_composition	1	2	1.0003505339712828	512	190	322	0.62890625	1.80078125	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P2_assay_context	1	2	1.001533740220806	512	227	285	0.556640625	1.732421875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P5_combined_context	1	2	1.0017810901122408	512	227	285	0.556640625	1.744140625	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P0_composition	2	4	1.0003505339712828	512	294	218	0.42578125	2.958984375	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P2_assay_context	2	4	1.001533740220806	512	342	170	0.33203125	2.83984375	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P5_combined_context	2	4	1.0017810901122408	512	351	161	0.314453125	2.751953125	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P0_composition	3	8	1.0003505339712828	512	410	102	0.19921875	4.298828125	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P2_assay_context	3	8	1.001533740220806	512	443	69	0.134765625	3.8984375	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P5_combined_context	3	8	1.0017810901122408	512	455	57	0.111328125	3.841796875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P0_composition	4	16	1.0003505339712828	512	489	23	0.044921875	5.248046875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P2_assay_context	4	16	1.001533740220806	512	503	9	0.017578125	4.1171875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P5_combined_context	4	16	1.0017810901122408	512	509	3	0.005859375	3.75	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P0_composition	5	32	1.0003505339712828	512	511	1	0.001953125	5.23046875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P2_assay_context	5	32	1.001533740220806	512	512	0	0.0	4.1328125	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P5_combined_context	5	32	1.0017810901122408	512	512	0	0.0	3.890625	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P0_composition	6	64	1.0003505339712828	512	512	0	0.0	5.419921875	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P2_assay_context	6	64	1.001533740220806	512	512	0	0.0	4.365234375	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
GCfix	P5_combined_context	6	64	1.0017810901122408	512	512	0	0.0	3.912109375	0.0	threshold transfer to generated sequences is descriptive and may be out of distribution
