pool	nearest_sequence_in_other_pool	quantile	nearest_hamming_distance_nt	nearest_identity_fraction
GCall	GCfix	0.0	54.0	0.5
GCall	GCfix	0.01	58.0	0.4629629629629629
GCall	GCfix	0.05	60.0	0.4444444444444444
GCall	GCfix	0.25	62.0	0.42592592592592593
GCall	GCfix	0.5	63.0	0.41666666666666663
GCall	GCfix	0.75	64.0	0.40740740740740744
GCall	GCfix	0.95	65.0	0.39814814814814814
GCall	GCfix	0.99	65.0	0.39814814814814814
GCall	GCfix	1.0	67.0	0.37962962962962965
GCfix	GCall	0.0	54.0	0.5
GCfix	GCall	0.01	58.0	0.4629629629629629
GCfix	GCall	0.05	60.0	0.4444444444444444
GCfix	GCall	0.25	62.0	0.42592592592592593
GCfix	GCall	0.5	63.0	0.41666666666666663
GCfix	GCall	0.75	64.0	0.40740740740740744
GCfix	GCall	0.95	65.0	0.39814814814814814
GCfix	GCall	0.99	65.0	0.39814814814814814
GCfix	GCall	1.0	67.0	0.37962962962962965
