audit_scope	population	quantile	nearest_hamming_distance_nt	nearest_identity_fraction
GCall_variable_regions_vs_external_codec_eligible_2053	GCall	0.0	55.0	0.4907407407407407
GCall_variable_regions_vs_external_codec_eligible_2053	GCall	0.01	60.0	0.4444444444444444
GCall_variable_regions_vs_external_codec_eligible_2053	GCall	0.05	62.0	0.42592592592592593
GCall_variable_regions_vs_external_codec_eligible_2053	GCall	0.25	64.0	0.40740740740740744
GCall_variable_regions_vs_external_codec_eligible_2053	GCall	0.5	65.0	0.39814814814814814
GCall_variable_regions_vs_external_codec_eligible_2053	GCall	0.75	66.0	0.38888888888888884
GCall_variable_regions_vs_external_codec_eligible_2053	GCall	0.95	67.0	0.37962962962962965
GCall_variable_regions_vs_external_codec_eligible_2053	GCall	0.99	68.0	0.37037037037037035
GCall_variable_regions_vs_external_codec_eligible_2053	GCall	1.0	69.0	0.36111111111111116
GCall_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.0	55.0	0.4907407407407407
GCall_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.01	58.0	0.4629629629629629
GCall_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.05	60.0	0.4444444444444444
GCall_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.25	62.0	0.42592592592592593
GCall_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.5	63.0	0.41666666666666663
GCall_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.75	64.0	0.40740740740740744
GCall_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.95	65.0	0.39814814814814814
GCall_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.99	65.0	0.39814814814814814
GCall_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	1.0	66.0	0.38888888888888884
GCall_variable_regions_vs_external_locked_codebook_2048	GCall	0.0	55.0	0.4907407407407407
GCall_variable_regions_vs_external_locked_codebook_2048	GCall	0.01	60.0	0.4444444444444444
GCall_variable_regions_vs_external_locked_codebook_2048	GCall	0.05	62.0	0.42592592592592593
GCall_variable_regions_vs_external_locked_codebook_2048	GCall	0.25	64.0	0.40740740740740744
GCall_variable_regions_vs_external_locked_codebook_2048	GCall	0.5	65.0	0.39814814814814814
GCall_variable_regions_vs_external_locked_codebook_2048	GCall	0.75	66.0	0.38888888888888884
GCall_variable_regions_vs_external_locked_codebook_2048	GCall	0.95	67.0	0.37962962962962965
GCall_variable_regions_vs_external_locked_codebook_2048	GCall	0.99	68.0	0.37037037037037035
GCall_variable_regions_vs_external_locked_codebook_2048	GCall	1.0	69.0	0.36111111111111116
GCall_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.0	55.0	0.4907407407407407
GCall_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.01	58.0	0.4629629629629629
GCall_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.05	60.0	0.4444444444444444
GCall_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.25	62.0	0.42592592592592593
GCall_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.5	63.0	0.41666666666666663
GCall_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.75	64.0	0.40740740740740744
GCall_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.95	65.0	0.39814814814814814
GCall_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.99	65.0	0.39814814814814814
GCall_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	1.0	66.0	0.38888888888888884
GCfix_variable_regions_vs_external_codec_eligible_2053	GCfix	0.0	56.0	0.4814814814814815
GCfix_variable_regions_vs_external_codec_eligible_2053	GCfix	0.01	60.0	0.4444444444444444
GCfix_variable_regions_vs_external_codec_eligible_2053	GCfix	0.05	62.0	0.42592592592592593
GCfix_variable_regions_vs_external_codec_eligible_2053	GCfix	0.25	64.0	0.40740740740740744
GCfix_variable_regions_vs_external_codec_eligible_2053	GCfix	0.5	65.0	0.39814814814814814
GCfix_variable_regions_vs_external_codec_eligible_2053	GCfix	0.75	66.0	0.38888888888888884
GCfix_variable_regions_vs_external_codec_eligible_2053	GCfix	0.95	67.0	0.37962962962962965
GCfix_variable_regions_vs_external_codec_eligible_2053	GCfix	0.99	68.0	0.37037037037037035
GCfix_variable_regions_vs_external_codec_eligible_2053	GCfix	1.0	69.0	0.36111111111111116
GCfix_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.0	56.0	0.4814814814814815
GCfix_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.01	58.0	0.4629629629629629
GCfix_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.05	60.0	0.4444444444444444
GCfix_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.25	62.0	0.42592592592592593
GCfix_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.5	63.0	0.41666666666666663
GCfix_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.75	64.0	0.40740740740740744
GCfix_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.95	65.0	0.39814814814814814
GCfix_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	0.99	65.0	0.39814814814814814
GCfix_variable_regions_vs_external_codec_eligible_2053	external_codec_eligible_2053	1.0	67.0	0.37962962962962965
GCfix_variable_regions_vs_external_locked_codebook_2048	GCfix	0.0	56.0	0.4814814814814815
GCfix_variable_regions_vs_external_locked_codebook_2048	GCfix	0.01	60.0	0.4444444444444444
GCfix_variable_regions_vs_external_locked_codebook_2048	GCfix	0.05	62.0	0.42592592592592593
GCfix_variable_regions_vs_external_locked_codebook_2048	GCfix	0.25	64.0	0.40740740740740744
GCfix_variable_regions_vs_external_locked_codebook_2048	GCfix	0.5	65.0	0.39814814814814814
GCfix_variable_regions_vs_external_locked_codebook_2048	GCfix	0.75	66.0	0.38888888888888884
GCfix_variable_regions_vs_external_locked_codebook_2048	GCfix	0.95	67.0	0.37962962962962965
GCfix_variable_regions_vs_external_locked_codebook_2048	GCfix	0.99	68.0	0.37037037037037035
GCfix_variable_regions_vs_external_locked_codebook_2048	GCfix	1.0	69.0	0.36111111111111116
GCfix_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.0	56.0	0.4814814814814815
GCfix_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.01	58.0	0.4629629629629629
GCfix_variable_regions_vs_external_locked_codebook_2048	external_locked_codebook_2048	0.05	60.0	0.4444444444444444
