panel	series	category	x	y	low	high	n	unit	note
a	formal_audit	generated_candidates		65024			65024	candidate rank-unrank checks	zero failures; exact selector-bit cost
b	FullContext ridge	GCall→GCfix, r=2	2.349030896744	3.24	1.9381622362436999	2.8462556229709	512	relative PCR efficiency x 1e-3	mean selected-minus-fiber-mean; 95% BCa target-fiber bootstrap interval
b	FullContext ridge	GCall→GCfix, r=4	3.1896705924369	2.24	2.5895028711011	3.9509920216498005	128	relative PCR efficiency x 1e-3	mean selected-minus-fiber-mean; 95% BCa target-fiber bootstrap interval
b	FullContext ridge	GCfix→GCall, r=2	2.135459124628	1.24	1.6617965807344	2.6008009936675998	512	relative PCR efficiency x 1e-3	mean selected-minus-fiber-mean; 95% BCa target-fiber bootstrap interval
b	FullContext ridge	GCfix→GCall, r=4	2.9666622831328	0.24	2.3191057391793	3.5979670963713	128	relative PCR efficiency x 1e-3	mean selected-minus-fiber-mean; 95% BCa target-fiber bootstrap interval
b	AssayContext ridge	GCall→GCfix, r=2	1.7635130035776	3.08	1.2445460492381	2.2859166097544	512	relative PCR efficiency x 1e-3	mean selected-minus-fiber-mean; 95% BCa target-fiber bootstrap interval
b	AssayContext ridge	GCall→GCfix, r=4	1.7047029655097	2.08	0.29753177651089996	2.4411186517633	128	relative PCR efficiency x 1e-3	mean selected-minus-fiber-mean; 95% BCa target-fiber bootstrap interval
b	AssayContext ridge	GCfix→GCall, r=2	1.5123895268995	1.08	0.9761408176266	1.9939786691324999	512	relative PCR efficiency x 1e-3	mean selected-minus-fiber-mean; 95% BCa target-fiber bootstrap interval
b	AssayContext ridge	GCfix→GCall, r=4	1.9239180965731	0.08	1.1148760738538	2.5750046268574	128	relative PCR efficiency x 1e-3	mean selected-minus-fiber-mean; 95% BCa target-fiber bootstrap interval
b	Released 1D-CNN score	GCall→GCfix, r=2	1.0044167977877	2.92	0.4002664173682	1.5174982511464001	512	relative PCR efficiency x 1e-3	mean selected-minus-fiber-mean; 95% BCa target-fiber bootstrap interval
